Activity_ID,Activity_Name,WBS_Code,Parent_Activity_ID,Area,Trade,Resource,Level
PRE-1000,Project Charter & Owner Project Requirements (OPR),01.01.01,,,,PM_EPC,summary
PRE-1010,Basis of Design (BOD) Submission & Approval,01.01.02,,,,MEP_ENG,summary
PRE-1020,Site Geotechnical & Topographic Survey,01.01.03,,,,SURVEY_CREW,summary
PRE-1030,Utility Interconnection Request (60MW Load),01.01.04,,,,UTIL_LIAISON,summary
PRE-1040,Environmental Impact Study & NEPA Review,01.01.05,,,,ENV_CONSULT,summary
PRE-1050,Final AHJ Zoning & Land Use Permit Approval,01.01.06,,,,LEGAL_LEAD,summary
PRO-2000,LLE: 115kV Power Transformer PO Placement,02.01.01,,,,PROCURE_SPEC,summary
PRO-2010,LLE: 2.5MW Diesel Generators (24 Units) PO,02.01.02,,,,PROCURE_SPEC,summary
PRO-2020,LLE: Medium Voltage (MV) Switchgear PO,02.01.03,,,,PROCURE_SPEC,summary
PRO-2030,LLE: 1200kW UPS Modules & Lithium Batteries PO,02.01.04,,,,PROCURE_SPEC,summary
PRO-2040,LLE: 1500-Ton Chiller Plant Assemblies PO,02.01.05,,,,PROCURE_SPEC,summary
CIV-3000,Site Mobilization & Temporary Logistics Yard,03.01.01,,,,CIVIL_SUPER,summary
CIV-3010,Mass Excavation & Export (Phase 1),03.01.02,,,,HEAVY_EQUIP,summary
CIV-3020,Substation Retaining Wall & Pad Foundations,03.01.03,,,,CONC_CREW,summary
CIV-3030,MV Ductbank Installation - Substation to Building,03.01.04,,,,UTIL_CREW,summary
CIV-3040,Ground Grid Installation & Megger Testing,03.01.05,,,,ELEC_GROUND,summary
CIV-3050,Foundation Piling - Data Halls 1-4,03.01.06,,,,PILE_RIG,summary
STR-4000,Data Hall Structural Steel Erection (Zone A),03.02.01,,,,STEEL_ERECTOR,summary
STR-4010,Data Hall Slab-on-Grade Pours (Reinforced),03.02.02,,,,CONC_CREW,summary
STR-4020,Roof Decking & Mechanical Penthouse Steel,03.02.03,,,,STEEL_ERECTOR,summary
STR-4030,Exterior Facade & Pre-cast Panel Installation,03.02.04,,,,RIGGING_CREW,summary
STR-4040,Roofing Membrane & Envelope Seal (Weather-Tight),03.02.05,,,,ENVELOPE_CONT,summary
MEP-5000,Underfloor MEP Rough-in - Mechanical/Elec,04.01.01,,,,PIPEFITTER,summary
MEP-5010,Main Switchgear Room - Electrical Fit-out,04.01.02,,,,ELEC_JOURNEYMAN,summary
MEP-5020,UPS Room Fit-out & Static Switch Install,04.01.03,,,,UPS_TECH,summary
MEP-5030,CHW Primary/Secondary Loop Header Piping,04.02.01,,,,PIPEFITTER,summary
MEP-5040,Generator Yard Rigging & Setting (LLE Arrival),04.02.02,,,,RIGGING_CREW,summary
MEP-5050,Fuel Oil Piping - Bulk Storage to Day Tanks,04.02.03,,,,PIPEFITTER,summary
MEP-5060,BMS/EPMS Head-end Control Panel Install,04.02.04,,,,CONTROL_ENG,summary
FP-5070,Fire Protection Rough-In (All Areas),04.01.05,,,,FIRE_PROT,summary
FIT-6000,Data Hall 1: Raised Floor Pedestals & Stringers,05.01.01,,,,CARPENTER,summary
FIT-6010,Data Hall 1: Overhead Busway & PDU Feeds,05.01.02,,,,ELEC_JOURNEYMAN,summary
FIT-6020,Data Hall 1: CRAH Unit Placement & Final Piping,05.01.03,,,,HVAC_TECH,summary
FIT-6030,Data Hall 1: Rack Containment & Hot-Aisle Seal,05.01.04,,,,CARPENTER,summary
FIT-6040,Data Hall 1: Fiber Backbone & Patch Panel Term,05.01.05,,,,IT_TECH,summary
CXL-7000,Cx Level 1: Factory Witness Tests (FAT) - Gens,06.01.01,,,,CX_AGENT,summary
CXL-7010,Cx Level 2: Component Site Acceptance (SAT),06.01.02,,,,CX_AGENT,summary
CXL-7020,Cx Level 3: Individual System Startup & Energize,06.01.03,,,,VEND_TECH,summary
CXL-7030,Cx Level 4: Functional Performance Testing (FPT),06.01.04,,,,CX_AGENT,summary
CXL-7040,Cx Level 5: Integrated System Testing (IST),06.01.05,,,,CX_AGENT,summary
TUR-8000,Substantial Completion & AHJ Final Inspection,07.01.01,,,,PM_EPC,summary
TUR-8010,Certificate of Occupancy (CO) Issuance,07.01.02,,,,AHJ_INSPECT,summary
TUR-8020,O&M Manual Delivery & Operations Handover,07.01.03,,,,FACILITY_OPS,summary
TUR-8030,Operational Go-Live (IT Load Ready),07.01.04,,,,MILESTONE,milestone
